Item,Description,Proper,Vender Desc,UM,UL,Crew,Output,Material,Labor,Equipment,Total
22-13-16-50-1530,"Fiberglass reinforced, adapter, bell x male/fem, 8""","               8""","Fiberglass reinforced, adapter, bell x male/fem, 8""",EA,1.6,PLM,5,132,176,,$308.00
22-13-16-50-1540,"Fiberglass reinforced, adapter, bell x male/fem, 10""","               10""","Fiberglass reinforced, adapter, bell x male/fem, 10""",EA,2,PLM,4,193.6,220,,$413.60
22-13-16-50-1550,"Fiberglass reinforced, adapter, bell x male/fem, 12""","               12""","Fiberglass reinforced, adapter, bell x male/fem, 12""",EA,2.667,PLM,3,343.2,290.4,,$633.60
22-13-16-50-1560,            Nipples,            Nipples,,,,,,,,,
22-13-16-50-1570,"Fiberglass reinforced, nipples, 2""x 6""","               2"" x 6""","Fiberglass reinforced, nipples, 2""x 6""",EA,0.08,PLM,100,8.68,8.68,,$17.35
22-13-16-50-1580,"Fiberglass reinforced, nipples, 2""x 12""","               2"" x 12""","Fiberglass reinforced, nipples, 2""x 12""",EA,0.1,PLM,80,12.98,10.78,,$23.76
22-13-16-50-1590,"Fiberglass reinforced, nipples, 3""x 8""","               3"" x 8""","Fiberglass reinforced, nipples, 3""x 8""",EA,0.123,PLM,65,12.98,13.42,,$26.40
22-13-16-50-1600,"Fiberglass reinforced, nipples, 3""x 12""","               3"" x 12""","Fiberglass reinforced, nipples, 3""x 12""",EA,0.133,PLM,60,12.98,14.52,,$27.50
22-13-16-50-1610,"Fiberglass reinforced, nipples, 4""x 8""","               4"" x 8""","Fiberglass reinforced, nipples, 4""x 8""",EA,0.133,PLM,60,12.98,14.52,,$27.50
22-13-16-50-1620,"Fiberglass reinforced, nipples, 4""x 12""","               4"" x 12""","Fiberglass reinforced, nipples, 4""x 12""",EA,0.16,PLM,50,14.74,17.38,,$32.12
22-13-16-50-1630,"Fiberglass reinforced, nipples, 6""x 12""","               6"" x 12""","Fiberglass reinforced, nipples, 6""x 12""",EA,0.2,PLM,40,33.66,21.78,,$55.44
22-13-16-50-1640,"Fiberglass reinforced, nipples, 8""x 18""","               8"" x 18""","Fiberglass reinforced, nipples, 8""x 18""",EA,0.2,PLM,40,96.8,21.78,,$118.58
22-13-16-50-1650,"Fiberglass reinforced, nipples, 8""x 24""","               8"" x 24""","Fiberglass reinforced, nipples, 8""x 24""",EA,0.229,PLM,35,114.4,24.86,,$139.26
22-13-16-50-1660,"Fiberglass reinforced, nipples, 10""x 18""","               10"" x 18""","Fiberglass reinforced, nipples, 10""x 18""",EA,0.267,PLM,30,114.4,29.04,,$143.44
22-13-16-50-1670,"Fiberglass reinforced, nipples, 10""x 24""","               10"" x 24""","Fiberglass reinforced, nipples, 10""x 24""",EA,0.32,PLM,25,149.6,34.76,,$184.36
22-13-16-50-1680,"Fiberglass reinforced, nipples, 12""x 18""","               12"" x 18""","Fiberglass reinforced, nipples, 12""x 18""",EA,0.364,PLM,22,149.6,39.38,,$188.98
22-13-16-50-1690,"Fiberglass reinforced, nipples, 12""x 24""","               12"" x 24""","Fiberglass reinforced, nipples, 12""x 24""",EA,0.4,PLM,20,184.8,43.34,,$228.14
22-13-16-50-1710,            Sleeve coupling,            Sleeve coupling,,,,,,,,,
22-13-16-50-1720,"Fiberglass reinforced, sleeve coupling, 2""","               2""","Fiberglass reinforced, sleeve coupling, 2""",EA,0.667,PLM,12,18.92,72.16,,$91.08
22-13-16-50-1730,"Fiberglass reinforced, sleeve coupling, 3""","               3""","Fiberglass reinforced, sleeve coupling, 3""",EA,0.8,PLM,10,20.9,87.12,,$108.02
22-13-16-50-1740,"Fiberglass reinforced, sleeve coupling, 4""","               4""","Fiberglass reinforced, sleeve coupling, 4""",EA,1.143,PLM,7,28.82,123.2,,$152.02
22-13-16-50-1750,"Fiberglass reinforced, sleeve coupling, 6""","               6""","Fiberglass reinforced, sleeve coupling, 6""",EA,1.6,PLM,5,69.52,176,,$245.52
22-13-16-50-1760,"Fiberglass reinforced, sleeve coupling, 8""","               8""","Fiberglass reinforced, sleeve coupling, 8""",EA,2,PLM,4,114.4,220,,$334.40
22-13-16-50-1770,"Fiberglass reinforced, sleeve coupling, 10""","               10""","Fiberglass reinforced, sleeve coupling, 10""",EA,2.667,PLM,3,167.2,290.4,,$457.60
22-13-16-50-1790,            Flanges,            Flanges,,,,,,,,,
22-13-16-50-1800,"Fiberglass reinforced, flanges, 2""","               2""","Fiberglass reinforced, flanges, 2""",EA,0.667,PLM,12,28.38,72.16,,$100.54
22-13-16-50-1810,"Fiberglass reinforced, flanges, 3""","               3""","Fiberglass reinforced, flanges, 3""",EA,0.8,PLM,10,38.28,87.12,,$125.40
22-13-16-50-1820,"Fiberglass reinforced, flanges, 4""","               4""","Fiberglass reinforced, flanges, 4""",EA,1.143,PLM,7,51.04,123.2,,$174.24
22-13-16-50-1830,"Fiberglass reinforced, flanges, 6""","               6""","Fiberglass reinforced, flanges, 6""",EA,1.6,PLM,5,87.12,176,,$263.12
22-13-16-50-1840,"Fiberglass reinforced, flanges, 8""","               8""","Fiberglass reinforced, flanges, 8""",EA,2,PLM,4,149.6,220,,$369.60
22-13-16-50-1850,"Fiberglass reinforced, flanges, 10""","               10""","Fiberglass reinforced, flanges, 10""",EA,2.667,PLM,3,211.2,290.4,,$501.60
22-13-16-50-1860,"Fiberglass reinforced, flanges, 12""","               12""","Fiberglass reinforced, flanges, 12""",EA,2.667,PLM,3,264,290.4,,$554.40
22-13-16-70,"DRAINS, ROOF & FLOOR","DRAINS, ROOF & FLOOR","DRAINS, ROOF & FLOOR",,,,,,,,
22-13-16-70-1020,"      Floor drain, cast iron, with cast iron top","      Floor drain, cast iron, with cast iron top",,,,,,,,,
22-13-16-70-1030,"Floor drain, cast iron, with cast iron top, 2""","            2""","Floor drain, cast iron, with cast iron top, 2""",EA,0.667,PLM,12,228.8,72.16,,$300.96
22-13-16-70-1040,"Floor drain, cast iron, with cast iron top, 3""","            3""","Floor drain, cast iron, with cast iron top, 3""",EA,0.667,PLM,12,237.6,72.16,,$309.76
22-13-16-70-1050,"Floor drain, cast iron, with cast iron top, 4""","            4""","Floor drain, cast iron, with cast iron top, 4""",EA,0.667,PLM,12,501.6,72.16,,$573.76
22-13-16-70-1060,"Floor drain, cast iron, with cast iron top, 6""","            6""","Floor drain, cast iron, with cast iron top, 6""",EA,0.8,PLM,10,651.2,87.12,,$738.32
22-13-16-70-1070,"Floor drain, cast iron, with cast iron top, 9""","            9""","Floor drain, cast iron, with cast iron top, 9""",SF,1,PLM,8,915.2,105.6,,"$1,020.80"
22-13-16-70-1090,"      Roof drain, cast iron","      Roof drain, cast iron",,,,,,,,,
22-13-16-70-1100,"Roof drain, cast iron, 2""","            2""","Roof drain, cast iron, 2""",EA,0.667,PLM,12,290.4,72.16,,$362.56
22-13-16-70-1110,"Roof drain, cast iron, 3""","            3""","Roof drain, cast iron, 3""",EA,0.667,PLM,12,308,72.16,,$380.16
22-13-16-70-1120,"Roof drain, cast iron, 4""","            4""","Roof drain, cast iron, 4""",EA,0.667,PLM,12,378.4,72.16,,$450.56
22-13-16-70-1130,"Roof drain, cast iron, 5""","            5""","Roof drain, cast iron, 5""",EA,0.8,PLM,10,563.2,87.12,,$650.32
22-13-16-70-1140,"Roof drain, cast iron, 6""","            6""","Roof drain, cast iron, 6""",EA,0.8,PLM,10,572,87.12,,$659.12
22-13-16-80,TRAPS,TRAPS,TRAPS,,,,,,,,
22-13-16-80-0980,"      Bucket trap, threaded","      Bucket trap, threaded",,,,,,,,,
22-13-16-80-1000,"Bucket trap, threaded, 3/4""","            3/4""","Bucket trap, threaded, 3/4""",EA,0.5,PLM,16,237.6,54.56,,$292.16
22-13-16-80-1010,"Bucket trap, threaded, 1""","            1""","Bucket trap, threaded, 1""",EA,0.533,PLM,15,677.6,58.08,,$735.68
22-13-16-80-1020,"Bucket trap, threaded, 1-1/4""","            1-1/4""","Bucket trap, threaded, 1-1/4""",EA,0.615,PLM,13,800.8,66.88,,$867.68
22-13-16-80-1030,"Bucket trap, threaded, 1-1/2""","            1-1/2""","Bucket trap, threaded, 1-1/2""",EA,0.727,PLM,11,1205.6,79.2,,"$1,284.80"
22-13-16-80-1080,"      Inverted bucket steam trap, threaded","      Inverted bucket steam trap, threaded",,,,,,,,,
22-13-16-80-1100,"Bucket trap, inverted, threaded, 3/4""","            3/4""","Bucket trap, inverted, threaded, 3/4""",EA,0.5,PLM,16,290.4,54.56,,$344.96
22-13-16-80-1110,"Bucket trap, inverted, threaded, 1""","            1""","Bucket trap, inverted, threaded, 1""",EA,0.5,PLM,16,563.2,54.56,,$617.76
22-13-16-80-1120,"Bucket trap, inverted, threaded, 1-1/4""","            1-1/4""","Bucket trap, inverted, threaded, 1-1/4""",EA,0.444,PLM,18,862.4,48.4,,$910.80
22-13-16-80-1140,"Bucket trap, inverted, threaded, 1-1/2""","            1-1/2""","Bucket trap, inverted, threaded, 1-1/2""",EA,0.667,PLM,12,915.2,72.16,,$987.36
22-13-16-80-1150,         With stainless interior,         With stainless interior,,,,,,,,,
22-13-16-80-1160,"With stainless interior, 1/2""","            1/2""","With stainless interior, 1/2""",EA,0.5,PLM,16,176,54.56,,$230.56
22-13-16-80-1180,"Bucket trap, inverted, w/stainless interior, 3/4""","            3/4""","Bucket trap, inverted, w/stainless interior, 3/4""",EA,0.5,PLM,16,211.2,54.56,,$265.76
22-13-16-80-1200,"Bucket trap, inverted, w/stainless interior, 1""","            1""","Bucket trap, inverted, w/stainless interior, 1""",EA,0.5,PLM,16,431.2,54.56,,$485.76
22-13-16-80-1210,"Bucket trap, inverted, w/stainless interior, 1-1/4""","            1-1/4""","Bucket trap, inverted, w/stainless interior, 1-1/4""",EA,0.571,PLM,14,528,61.6,,$589.60
22-13-16-80-1215,         Brass interior,         Brass interior,,,,,,,,,
22-13-16-80-1220,"Bucket trap, inverted, brass interior, 3/4""","            3/4""","Bucket trap, inverted, brass interior, 3/4""",EA,0.5,PLM,16,316.8,54.56,,$371.36
22-13-16-80-1230,"Bucket trap, inverted, brass interior, 1""","            1""","Bucket trap, inverted, brass interior, 1""",EA,0.533,PLM,15,633.6,58.08,,$691.68
22-13-16-80-1240,"Bucket trap, inverted, brass interior, 1-1/4""","            1-1/4""","Bucket trap, inverted, brass interior, 1-1/4""",EA,0.571,PLM,14,915.2,61.6,,$976.80
22-13-16-80-1245,"         Cast steel body, threaded, high temperature","         Cast steel body, threaded, high temperature",,,,,,,,,
22-13-16-80-1250,"Bucket trap, inverted, cast stl, thrd, hi temp, 3/4""","            3/4""","Bucket trap, inverted, cast stl, thrd, hi temp, 3/4""",EA,0.5,PLM,16,827.2,54.56,,$881.76
22-13-16-80-1260,"Bucket trap, inverted, cast stl, thrd, hi temp, 1""","            1""","Bucket trap, inverted, cast stl, thrd, hi temp, 1""",EA,0.571,PLM,14,1117.6,61.6,,"$1,179.20"
22-13-16-80-1270,"Bucket trap, inverted, cast stl, thrd, hi temp, 1-1/4""",            1-1/4,"Bucket trap, inverted, cast stl, thrd, hi temp, 1-1/4""",EA,0.615,PLM,13,1698.4,66.88,,"$1,765.28"
22-13-16-80-1280,"Bucket trap, inverted, cast stl, thrd, hi temp, 1-1/2""","            1-1/2""","Bucket trap, inverted, cast stl, thrd, hi temp, 1-1/2""",EA,0.667,PLM,12,2147.2,72.16,,"$2,219.36"
22-13-16-80-1290,"Bucket trap, invrtd, cast stl, thrd, hi temp, 2""","            2""","Bucket trap, invrtd, cast stl, thrd, hi temp, 2""",EA,0.8,PLM,10,3194.4,87.12,,"$3,281.52"
22-13-16-80-1480,"      Float trap, 15 psi","      Float trap, 15 psi",,,,,,,,,
22-13-16-80-1500,"Float trap, 15 psi, 3/4""","            3/4""","Float trap, 15 psi, 3/4""",EA,0.5,PLM,16,211.2,54.56,,$265.76
22-13-16-80-1510,"Float trap, 15 psi, 1""","            1""","Float trap, 15 psi, 1""",EA,0.533,PLM,15,316.8,58.08,,$374.88
22-13-16-80-1520,"Float trap, 15 psi, 1-1/4""","            1-1/4""","Float trap, 15 psi, 1-1/4""",EA,0.571,PLM,14,413.6,61.6,,$475.20
22-13-16-80-1530,"Float trap, 15 psi, 1-1/2""","            1-1/2""","Float trap, 15 psi, 1-1/2""",EA,0.667,PLM,12,528,72.16,,$600.16
22-13-16-80-1540,"Float trap, 15 psi, 2""","            2""","Float trap, 15 psi, 2""",EA,0.8,PLM,10,915.2,87.12,,"$1,002.32"
22-13-16-80-1545,         30 psi,         30 psi,,,,,,,,,
22-13-16-80-1550,"Float trap, 30 psi, 3/4""","            3/4""","Float trap, 30 psi, 3/4""",EA,0.5,PLM,16,237.6,54.56,,$292.16
22-13-16-80-1560,"Float trap, 30 psi, 1""","            1""","Float trap, 30 psi, 1""",EA,0.533,PLM,15,316.8,58.08,,$374.88
22-13-16-80-1570,"Float trap, 30 psi, 1-1/4""","            1-1/4""","Float trap, 30 psi, 1-1/4""",EA,0.667,PLM,12,466.4,72.16,,$538.56
22-13-16-80-1580,"Float trap, 30 psi, 1-1/2""","            1-1/2""","Float trap, 30 psi, 1-1/2""",EA,0.8,PLM,10,704,87.12,,$791.12
22-13-16-80-1585,         75 psi,         75 psi,,,,,,,,,
22-13-16-80-1590,"Float trap, 75 psi, 3/4""","            3/4""","Float trap, 75 psi, 3/4""",EA,0.5,PLM,16,290.4,54.56,,$344.96
22-13-16-80-1600,"Float trap, 75 psi, 1""","            1""","Float trap, 75 psi, 1""",EA,0.533,PLM,15,334.4,58.08,,$392.48
22-13-16-80-1610,"Float trap, 75 psi, 1-1/4""","            1-1/4""","Float trap, 75 psi, 1-1/4""",EA,0.571,PLM,14,440,61.6,,$501.60
22-13-16-80-1620,"Float trap, 75 psi, 1-1/2""","            1-1/2""","Float trap, 75 psi, 1-1/2""",EA,0.667,PLM,12,677.6,72.16,,$749.76
22-13-16-80-1625,         125 psi,         125 psi,,,,,,,,,
22-13-16-80-1630,"Float trap, 125 psi, 3/4""","            3/4""","Float trap, 125 psi, 3/4""",EA,0.5,PLM,16,237.6,54.56,,$292.16
22-13-16-80-1640,"Float trap, 125 psi, 1""","            1""","Float trap, 125 psi, 1""",EA,0.533,PLM,15,264,58.08,,$322.08
22-13-16-80-1650,"Float trap, 125 psi, 1-1/4",            1-1/4,"Float trap, 125 psi, 1-1/4",EA,0.571,PLM,14,536.8,61.6,,$598.40
22-13-16-80-1660,"Float trap, 125 psi, 1-1/2",            1-1/2,"Float trap, 125 psi, 1-1/2",EA,0.667,PLM,12,536.8,72.16,,$608.96
22-13-16-80-1980,"      Float and thermostatic trap, 15 psi","      Float and thermostatic trap, 15 psi",,,,,,,,,
22-13-16-80-2000,"Float and thermostatic trap, 15 psi, 3/4""","            3/4""","Float and thermostatic trap, 15 psi, 3/4""",EA,0.5,PLM,16,220,54.56,,$274.56
22-13-16-80-2010,"Float and thermostatic trap, 15 psi, 1""","            1""","Float and thermostatic trap, 15 psi, 1""",EA,0.533,PLM,15,246.4,58.08,,$304.48
22-13-16-80-2020,"Float and thermostatic trap, 15 psi, 1-1/4""","            1-1/4""","Float and thermostatic trap, 15 psi, 1-1/4""",EA,0.571,PLM,14,387.2,61.6,,$448.80
22-13-16-80-2030,"Float and thermostatic trap, 15 psi, 1-1/2""","            1-1/2""","Float and thermostatic trap, 15 psi, 1-1/2""",EA,0.667,PLM,12,501.6,72.16,,$573.76
22-13-16-80-2040,"Float and thermostatic trap, 15 psi, 2""","            2""","Float and thermostatic trap, 15 psi, 2""",EA,0.8,PLM,10,915.2,87.12,,"$1,002.32"
22-13-16-80-2045,         30 psi,         30 psi,,,,,,,,,
22-13-16-80-2050,"Float and thermostatic trap, 30 psi, 3/4""","            3/4""","Float and thermostatic trap, 30 psi, 3/4""",EA,0.5,PLM,16,264,54.56,,$318.56
22-13-16-80-2060,"Float and thermostatic trap, 30 psi, 1""","            1""","Float and thermostatic trap, 30 psi, 1""",EA,0.533,PLM,15,316.8,58.08,,$374.88
22-13-16-80-2070,"Float and thermostatic trap, 30 psi, 1-1/4""","            1-1/4""","Float and thermostatic trap, 30 psi, 1-1/4""",EA,0.571,PLM,14,360.8,61.6,,$422.40
22-13-16-80-2080,"Float and thermostatic trap, 30 psi, 1-1/2""","            1-1/2""","Float and thermostatic trap, 30 psi, 1-1/2""",EA,0.667,PLM,12,510.4,72.16,,$582.56
22-13-16-80-2085,         75 psi,         75 psi,,,,,,,,,
22-13-16-80-2090,"Float and thermostatic trap, 75 psi, 3/4""","            3/4""","Float and thermostatic trap, 75 psi, 3/4""",EA,0.5,PLM,16,290.4,54.56,,$344.96
22-13-16-80-2100,"Float and thermostatic trap, 75 psi, 1""","            1""","Float and thermostatic trap, 75 psi, 1""",EA,0.533,PLM,15,316.8,58.08,,$374.88
22-13-16-80-2120,"Float and thermostatic trap, 75 psi, 1-1/4""","            1-1/4""","Float and thermostatic trap, 75 psi, 1-1/4""",EA,0.571,PLM,14,457.6,61.6,,$519.20
22-13-16-80-2130,"Float and thermostatic trap, 75 psi, 1-1/2""","            1-1/2""","Float and thermostatic trap, 75 psi, 1-1/2""",EA,0.667,PLM,12,792,72.16,,$864.16
22-13-16-80-2135,"      Steam trap, cast iron body, threaded, 125 psi","      Steam trap, cast iron body, threaded, 125 psi",,,,,,,,,
22-13-16-80-2140,"Steam trap, cast iron body, threaded, 125 psi, 3/4""","            3/4""","Steam trap, cast iron body, threaded, 125 psi, 3/4""",EA,0.5,PLM,16,264,54.56,,$318.56
22-13-16-80-2150,"Steam trap, cast iron body, threaded, 125 psi, 1""","            1""","Steam trap, cast iron body, threaded, 125 psi, 1""",EA,0.533,PLM,15,308,58.08,,$366.08
22-13-16-80-2160,"Steam trap, cast iron body, threaded, 125 psi, 1-1/4""","            1-1/4""","Steam trap, cast iron body, threaded, 125 psi, 1-1/4""",EA,0.571,PLM,14,440,61.6,,$501.60
22-13-16-80-2170,"Steam trap, cast iron body, threaded, 125 psi, 1-1/2""","            1-1/2""","Steam trap, cast iron body, threaded, 125 psi, 1-1/2""",EA,0.667,PLM,12,721.6,72.16,,$793.76
22-13-16-80-2175,"      Thermostatic trap, low pressure, angle type, 25 psi","      Thermostatic trap, low pressure, angle type, 25 psi",,,,,,,,,
22-13-16-80-2180,"Thermo trap, low pressure, 25 psi, angle type, 1/2""","            1/2""","Thermo trap, low pressure, 25 psi, angle type, 1/2""",EA,0.5,PLM,16,80.08,54.56,,$134.64
22-13-16-80-2190,"Thermo trap, low pressure, 25 psi, angle type, 3/4""","            3/4""","Thermo trap, low pressure, 25 psi, angle type, 3/4""",EA,0.5,PLM,16,132,54.56,,$186.56
22-13-16-80-2200,"Thermo trap, low pressure, 25 psi, angle type, 1""","            1""","Thermo trap, low pressure, 25 psi, angle type, 1""",EA,0.533,PLM,15,176,58.08,,$234.08
22-13-16-80-2205,         50 psi,         50 psi,,,,,,,,,
22-13-16-80-2210,"Thermo trap, low pressure, 50 psi, angle type, 1/2""","            1/2""","Thermo trap, low pressure, 50 psi, angle type, 1/2""",EA,0.5,PLM,16,132,54.56,,$186.56
22-13-16-80-2220,"Thermo trap, low pressure, 50 psi, angle type, 3/4""","            3/4""","Thermo trap, low pressure, 50 psi, angle type, 3/4""",EA,0.5,PLM,16,167.2,54.56,,$221.76
22-13-16-80-2230,"Thermo trap, low pressure, 50 psi, angle type, 1""","            1""","Thermo trap, low pressure, 50 psi, angle type, 1""",EA,0.533,PLM,15,193.6,58.08,,$251.68
22-13-16-80-2235,"         Cast iron body, threaded, 125 psi","         Cast iron body, threaded, 125 psi",,,,,,,,,
22-13-16-80-2240,"Thermo trap, CI body, threaded, 125 psi, 3/4""","            3/4""","Thermo trap, CI body, threaded, 125 psi, 3/4""",EA,0.5,PLM,16,176,54.56,,$230.56
22-13-16-80-2250,"Thermo trap, CI body, threaded, 125 psi, 1""","            1""","Thermo trap, CI body, threaded, 125 psi, 1""",EA,0.571,PLM,14,220,61.6,,$281.60
22-13-16-80-2260,"Thermo trap, CI body, threaded, 125 psi, 1-1/4""","            1-1/4""","Thermo trap, CI body, threaded, 125 psi, 1-1/4""",EA,0.615,PLM,13,290.4,66.88,,$357.28
22-13-16-80-2270,"Thermo trap, CI body, threaded, 125 psi, 1-1/2""","            1-1/2""","Thermo trap, CI body, threaded, 125 psi, 1-1/2""",EA,0.667,PLM,12,431.2,72.16,,$503.36
22-13-16-80-2280,"Thermo trap, CI body, low press, 25 psi, swivel, 1/2""","         Low pressure, 25 psi, swivel type, 1/2""","Thermo trap, CI body, low press, 25 psi, swivel, 1/2""",EA,0.5,PLM,16,85.36,54.56,,$139.92
22-13-16-80-2290,"Thermo trap, CI body, low press, 25 psi, straight, 3/4""","            Straightway type, 3/4""","Thermo trap, CI body, low press, 25 psi, straight, 3/4""",EA,0.5,PLM,16,114.4,54.56,,$168.96
22-13-16-80-2295,"Thermo trap, CI body, low press, 25 psi, vertical, 1/2""","            Vertical type, 1/2""","Thermo trap, CI body, low press, 25 psi, vertical, 1/2""",EA,0.5,PLM,16,77.44,54.56,,$132.00
22-13-16-80-2298,"Thermo trap, CI body, med press, 50 psi, angle, 1/2""","         Medium pressure, 50 psi, angle type, 1/2""","Thermo trap, CI body, med press, 50 psi, angle, 1/2""",EA,0.5,PLM,16,105.6,54.56,,$160.16
22-13-16-80-2299,"         High pressure, 125 psi, angle type","         High pressure, 125 psi, angle type",,,,,,,,,
22-13-16-80-2300,"Thermo trap, CI body, hi press, 125 psi, angle, 1/2""","            1/2""","Thermo trap, CI body, hi press, 125 psi, angle, 1/2""",EA,0.5,PLM,16,140.8,54.56,,$195.36
22-13-16-80-2310,"Thermo trap, CI body, hi press, 125 psi, angle, 3/4""","               3/4""","Thermo trap, CI body, hi press, 125 psi, angle, 3/4""",EA,0.5,PLM,16,176,54.56,,$230.56
22-13-16-80-2320,"Thermo trap, CI body, hi press, 125 psi, angle, 1""","               1""","Thermo trap, CI body, hi press, 125 psi, angle, 1""",EA,0.571,PLM,14,264,61.6,,$325.60
22-13-16-80-2330,            Straightway type,            Straightway type,,,,,,,,,
22-13-16-80-2340,"Thermo trap, CI body, hi press, 125 psi, straight, 1/2""","               1/2""","Thermo trap, CI body, hi press, 125 psi, straight, 1/2""",EA,0.5,PLM,16,140.8,54.56,,$195.36
22-13-16-80-2980,      Thermo disc trap,      Thermo disc trap,,,,,,,,,
22-13-16-80-3000,"Thermostatic trap, 3/4""","            3/4""","Thermostatic trap, 3/4""",EA,0.5,PLM,16,211.2,54.56,,$265.76
22-13-16-80-3010,"Thermostatic disc trap, 1""","            1""","Thermostatic disc trap, 1""",EA,0.533,PLM,15,237.6,58.08,,$295.68
22-13-16-80-3480,"      Drip pan ell, cast iron","      Drip pan ell, cast iron",,,,,,,,,
22-13-16-80-3500,"Thermostatic trap, drip pan ell, cast iron, 2-1/2""","            2-1/2""","Thermostatic trap, drip pan ell, cast iron, 2-1/2""",EA,1,PLM,8,272.8,105.6,,$378.40
22-13-16-80-3510,"Thermostatic trap, drip pan ell, cast iron, 3""","            3""","Thermostatic trap, drip pan ell, cast iron, 3""",EA,1.143,PLM,7,290.4,123.2,,$413.60
22-13-16-80-3520,"Thermostatic trap, drip pan ell, cast iron, 4""","            4""","Thermostatic trap, drip pan ell, cast iron, 4""",EA,1.333,PLM,6,413.6,140.8,,$554.40
22-13-16-80-3530,"Thermostatic trap, drip pan ell, cast iron, 5""","            5""","Thermostatic trap, drip pan ell, cast iron, 5""",EA,1.6,PLM,5,536.8,176,,$712.80
22-13-16-80-3540,"Thermostatic trap, drip pan ell, cast iron, 6""","            6""","Thermostatic trap, drip pan ell, cast iron, 6""",EA,2,PLM,4,827.2,220,,"$1,047.20"
22-13-16-80-3550,"Thermostatic trap, drip pan ell, cast iron, 8""","            8""","Thermostatic trap, drip pan ell, cast iron, 8""",EA,2.667,PLM,3,932.8,290.4,,"$1,223.20"
